start_date,end_date,name
1958-10-04,1969-06-19,Charles de Gaulle
1969-06-20,1974-05-26,Georges Pompidou
1974-05-27,1981-05-20,Valéry Giscard d'Estaing
1981-05-21,1995-05-16,François Mitterrand
1995-05-17,2007-05-15,Jacques Chirac
2007-05-16,2012-05-14,Nicolas Sarkozy
2012-05-15,2017-05-13,François Hollande
2017-05-14,,Emmanuel Macron
