date,holiday_name,is_public_holiday
1923-12-25,Noël,1
1924-01-01,Jour de l'an,1
1924-04-21,Lundi de Pâques,1
1924-05-01,1er mai,1
1924-05-29,Ascension,1
1924-06-09,Lundi de Pentecôte,1
1924-07-14,Fête nationale,1
1924-08-15,Assomption,1
1924-11-01,Toussaint,1
1924-11-11,Armistice,1
1924-12-25,Noël,1
1925-01-01,Jour de l'an,1
1925-04-13,Lundi de Pâques,1
1925-05-01,1er mai,1
1925-05-21,Ascension,1
1925-06-01,Lundi de Pentecôte,1
1925-07-14,Fête nationale,1
1925-08-15,Assomption,1
1925-11-01,Toussaint,1
1925-11-11,Armistice,1
1925-12-25,Noël,1
1926-01-01,Jour de l'an,1
1926-04-05,Lundi de Pâques,1
1926-05-01,1er mai,1
1926-05-13,Ascension,1
1926-05-24,Lundi de Pentecôte,1
1926-07-14,Fête nationale,1
1926-08-15,Assomption,1
1926-11-01,Toussaint,1
1926-11-11,Armistice,1
1926-12-25,Noël,1
1927-01-01,Jour de l'an,1
1927-04-18,Lundi de Pâques,1
1927-05-01,1er mai,1
1927-05-26,Ascension,1
1927-06-06,Lundi de Pentecôte,1
1927-07-14,Fête nationale,1
1927-08-15,Assomption,1
1927-11-01,Toussaint,1
1927-11-11,Armistice,1
1927-12-25,Noël,1
1928-01-01,Jour de l'an,1
1928-04-09,Lundi de Pâques,1
1928-05-01,1er mai,1
1928-05-17,Ascension,1
1928-05-28,Lundi de Pentecôte,1
1928-07-14,Fête nationale,1
1928-08-15,Assomption,1
1928-11-01,Toussaint,1
1928-11-11,Armistice,1
1928-12-25,Noël,1
1929-01-01,Jour de l'an,1
1929-04-01,Lundi de Pâques,1
1929-05-01,1er mai,1
1929-05-09,Ascension,1
1929-05-20,Lundi de Pentecôte,1
1929-07-14,Fête nationale,1
1929-08-15,Assomption,1
1929-11-01,Toussaint,1
1929-11-11,Armistice,1
1929-12-25,Noël,1
1930-01-01,Jour de l'an,1
1930-04-21,Lundi de Pâques,1
1930-05-01,1er mai,1
1930-05-29,Ascension,1
1930-06-09,Lundi de Pentecôte,1
1930-07-14,Fête nationale,1
1930-08-15,Assomption,1
1930-11-01,Toussaint,1
1930-11-11,Armistice,1
1930-12-25,Noël,1
1931-01-01,Jour de l'an,1
1931-04-06,Lundi de Pâques,1
1931-05-01,1er mai,1
1931-05-14,Ascension,1
1931-05-25,Lundi de Pentecôte,1
1931-07-14,Fête nationale,1
1931-08-15,Assomption,1
1931-11-01,Toussaint,1
1931-11-11,Armistice,1
1931-12-25,Noël,1
1932-01-01,Jour de l'an,1
1932-03-28,Lundi de Pâques,1
1932-05-01,1er mai,1
1932-05-05,Ascension,1
1932-05-16,Lundi de Pentecôte,1
1932-07-14,Fête nationale,1
1932-08-15,Assomption,1
1932-11-01,Toussaint,1
1932-11-11,Armistice,1
1932-12-25,Noël,1
1933-01-01,Jour de l'an,1
1933-04-17,Lundi de Pâques,1
1933-05-01,1er mai,1
1933-05-25,Ascension,1
1933-06-05,Lundi de Pentecôte,1
1933-07-14,Fête nationale,1
1933-08-15,Assomption,1
1933-11-01,Toussaint,1
1933-11-11,Armistice,1
1933-12-25,Noël,1
1934-01-01,Jour de l'an,1
1934-04-02,Lundi de Pâques,1
1934-05-01,1er mai,1
1934-05-10,Ascension,1
1934-05-21,Lundi de Pentecôte,1
1934-07-14,Fête nationale,1
1934-08-15,Assomption,1
1934-11-01,Toussaint,1
1934-11-11,Armistice,1
1934-12-25,Noël,1
1935-01-01,Jour de l'an,1
1935-04-22,Lundi de Pâques,1
1935-05-01,1er mai,1
1935-05-30,Ascension,1
1935-06-10,Lundi de Pentecôte,1
1935-07-14,Fête nationale,1
1935-08-15,Assomption,1
1935-11-01,Toussaint,1
1935-11-11,Armistice,1
1935-12-25,Noël,1
1936-01-01,Jour de l'an,1
1936-04-13,Lundi de Pâques,1
1936-05-01,1er mai,1
1936-05-21,Ascension,1
1936-06-01,Lundi de Pentecôte,1
1936-07-14,Fête nationale,1
1936-08-15,Assomption,1
1936-11-01,Toussaint,1
1936-11-11,Armistice,1
1936-12-25,Noël,1
1937-01-01,Jour de l'an,1
1937-03-29,Lundi de Pâques,1
1937-05-01,1er mai,1
1937-05-06,Ascension,1
1937-05-17,Lundi de Pentecôte,1
1937-07-14,Fête nationale,1
1937-08-15,Assomption,1
1937-11-01,Toussaint,1
1937-11-11,Armistice,1
1937-12-25,Noël,1
1938-01-01,Jour de l'an,1
1938-04-18,Lundi de Pâques,1
1938-05-01,1er mai,1
1938-05-26,Ascension,1
1938-06-06,Lundi de Pentecôte,1
1938-07-14,Fête nationale,1
1938-08-15,Assomption,1
1938-11-01,Toussaint,1
1938-11-11,Armistice,1
1938-12-25,Noël,1
1939-01-01,Jour de l'an,1
1939-04-10,Lundi de Pâques,1
1939-05-01,1er mai,1
1939-05-18,Ascension,1
1939-05-29,Lundi de Pentecôte,1
1939-07-14,Fête nationale,1
1939-08-15,Assomption,1
1939-11-01,Toussaint,1
1939-11-11,Armistice,1
1939-12-25,Noël,1
1940-01-01,Jour de l'an,1
1940-03-25,Lundi de Pâques,1
1940-05-01,1er mai,1
1940-05-02,Ascension,1
1940-05-13,Lundi de Pentecôte,1
1940-07-14,Fête nationale,1
1940-08-15,Assomption,1
1940-11-01,Toussaint,1
1940-11-11,Armistice,1
1940-12-25,Noël,1
1941-01-01,Jour de l'an,1
1941-04-14,Lundi de Pâques,1
1941-05-01,Fête du Travail et de la Concorde sociale,1
1941-05-22,Ascension,1
1941-06-02,Lundi de Pentecôte,1
1941-07-14,Fête nationale,1
1941-08-15,Assomption,1
1941-11-01,Toussaint,1
1941-11-11,Armistice,1
1941-12-25,Noël,1
1942-01-01,Jour de l'an,1
1942-04-06,Lundi de Pâques,1
1942-05-01,Fête du Travail et de la Concorde sociale,1
1942-05-14,Ascension,1
1942-05-25,Lundi de Pentecôte,1
1942-07-14,Fête nationale,1
1942-08-15,Assomption,1
1942-11-01,Toussaint,1
1942-11-11,Armistice,1
1942-12-25,Noël,1
1943-01-01,Jour de l'an,1
1943-04-26,Lundi de Pâques,1
1943-05-01,Fête du Travail et de la Concorde sociale,1
1943-06-03,Ascension,1
1943-06-14,Lundi de Pentecôte,1
1943-07-14,Fête nationale,1
1943-08-15,Assomption,1
1943-11-01,Toussaint,1
1943-11-11,Armistice,1
1943-12-25,Noël,1
1944-01-01,Jour de l'an,1
1944-04-10,Lundi de Pâques,1
1944-05-01,Fête du Travail et de la Concorde sociale,1
1944-05-18,Ascension,1
1944-05-29,Lundi de Pentecôte,1
1944-07-14,Fête nationale,1
1944-08-15,Assomption,1
1944-11-01,Toussaint,1
1944-11-11,Armistice,1
1944-12-25,Noël,1
1945-01-01,Jour de l'an,1
1945-04-02,Lundi de Pâques,1
1945-05-01,Fête du Travail et de la Concorde sociale,1
1945-05-10,Ascension,1
1945-05-21,Lundi de Pentecôte,1
1945-07-14,Fête nationale,1
1945-08-15,Assomption,1
1945-11-01,Toussaint,1
1945-11-11,Armistice,1
1945-12-25,Noël,1
1946-01-01,Jour de l'an,1
1946-04-22,Lundi de Pâques,1
1946-05-01,1er mai,1
1946-05-30,Ascension,1
1946-06-10,Lundi de Pentecôte,1
1946-07-14,Fête nationale,1
1946-08-15,Assomption,1
1946-11-01,Toussaint,1
1946-11-11,Armistice,1
1946-12-25,Noël,1
1947-01-01,Jour de l'an,1
1947-04-07,Lundi de Pâques,1
1947-05-01,1er mai,1
1947-05-15,Ascension,1
1947-05-26,Lundi de Pentecôte,1
1947-07-14,Fête nationale,1
1947-08-15,Assomption,1
1947-11-01,Toussaint,1
1947-11-11,Armistice,1
1947-12-25,Noël,1
1948-01-01,Jour de l'an,1
1948-03-29,Lundi de Pâques,1
1948-05-01,Fête du Travail,1
1948-05-06,Ascension,1
1948-05-17,Lundi de Pentecôte,1
1948-07-14,Fête nationale,1
1948-08-15,Assomption,1
1948-11-01,Toussaint,1
1948-11-11,Armistice,1
1948-12-25,Noël,1
1949-01-01,Jour de l'an,1
1949-04-18,Lundi de Pâques,1
1949-05-01,Fête du Travail,1
1949-05-26,Ascension,1
1949-06-06,Lundi de Pentecôte,1
1949-07-14,Fête nationale,1
1949-08-15,Assomption,1
1949-11-01,Toussaint,1
1949-11-11,Armistice,1
