date,is_christian_holiday,is_jewish_holiday,is_muslim_holiday,is_chinese_holiday
1905-04-05,0,0,0,1
1905-04-16,1,0,0,0
1905-04-20,1,0,0,0
1905-04-21,1,0,0,0
1905-04-23,1,0,0,0
1905-04-24,1,0,0,0
1905-04-30,1,0,0,0
1905-06-01,1,0,0,0
1905-06-07,0,0,0,1
1905-06-11,1,0,0,0
1905-06-12,1,0,0,0
1905-06-18,1,0,0,0
1905-06-22,1,0,0,0
1905-06-24,1,0,0,0
1905-06-29,1,0,0,0
1905-06-30,1,0,0,0
1905-08-06,1,0,0,0
1905-08-07,0,0,0,1
1905-08-15,1,0,0,1
1905-09-08,1,0,0,0
1905-09-13,0,0,0,1
1905-09-14,1,0,0,0
1905-10-07,0,0,0,1
1905-11-01,1,0,0,0
1905-11-02,1,0,0,0
1905-12-08,1,0,0,0
1905-12-22,0,0,0,1
1905-12-25,1,0,0,0
1905-12-26,1,0,0,0
1905-12-28,1,0,0,0
1906-01-01,1,0,0,0
1906-01-02,0,0,0,1
1906-01-06,1,0,0,0
1906-01-17,0,0,0,1
1906-01-25,0,0,0,1
1906-02-02,1,0,0,0
1906-02-08,0,0,0,1
1906-02-28,1,0,0,0
1906-03-19,1,0,0,0
1906-03-25,1,0,0,0
1906-04-06,0,0,0,1
1906-04-08,1,0,0,0
1906-04-12,1,0,0,0
1906-04-13,1,0,0,0
1906-04-15,1,0,0,0
1906-04-16,1,0,0,0
1906-04-22,1,0,0,0
1906-05-24,1,0,0,0
1906-06-03,1,0,0,0
1906-06-04,1,0,0,0
1906-06-10,1,0,0,0
1906-06-14,1,0,0,0
1906-06-22,1,0,0,0
1906-06-24,1,0,0,0
1906-06-26,0,0,0,1
1906-06-29,1,0,0,0
1906-08-06,1,0,0,0
1906-08-15,1,0,0,0
1906-08-26,0,0,0,1
1906-09-03,0,0,0,1
1906-09-08,1,0,0,0
1906-09-14,1,0,0,0
1906-10-02,0,0,0,1
1906-10-26,0,0,0,1
1906-11-01,1,0,0,0
1906-11-02,1,0,0,0
1906-12-08,1,0,0,0
1906-12-23,0,0,0,1
1906-12-25,1,0,0,0
1906-12-26,1,0,0,0
1906-12-28,1,0,0,0
1907-01-01,1,0,0,0
1907-01-06,1,0,0,0
1907-01-21,0,0,0,1
1907-02-02,1,0,0,0
1907-02-05,0,0,0,1
1907-02-13,1,0,0,1
1907-02-27,0,0,0,1
1907-03-19,1,0,0,0
1907-03-24,1,0,0,0
1907-03-25,1,0,0,0
1907-03-28,1,0,0,0
1907-03-29,1,0,0,0
1907-03-31,1,0,0,0
1907-04-01,1,0,0,0
1907-04-06,0,0,0,1
1907-04-07,1,0,0,0
1907-05-09,1,0,0,0
1907-05-19,1,0,0,0
1907-05-20,1,0,0,0
1907-05-26,1,0,0,0
1907-05-30,1,0,0,0
1907-06-07,1,0,0,0
1907-06-15,0,0,0,1
1907-06-24,1,0,0,0
1907-06-29,1,0,0,0
1907-08-06,1,0,0,0
1907-08-15,1,0,0,1
1907-08-23,0,0,0,1
1907-09-08,1,0,0,0
1907-09-14,1,0,0,0
1907-09-22,0,0,0,1
1907-10-15,0,0,0,1
1907-11-01,1,0,0,0
1907-11-02,1,0,0,0
1907-12-08,1,0,0,0
1907-12-23,0,0,0,1
1907-12-25,1,0,0,0
1907-12-26,1,0,0,0
1907-12-28,1,0,0,0
1908-01-01,1,0,0,0
1908-01-06,1,0,0,0
1908-01-11,0,0,0,1
1908-01-26,0,0,0,1
1908-02-02,1,0,0,1
1908-02-16,0,0,0,1
1908-03-04,1,0,0,0
1908-03-19,1,0,0,0
1908-03-25,1,0,0,0
1908-04-05,0,0,0,1
1908-04-12,1,0,0,0
