date,is_market_holiday,market_holiday_name
1915-11-11,1,Armistice 1918
1916-04-24,1,Lundi de Pâques
1916-05-01,1,Fête du Travail
1916-05-08,1,Fête de la Victoire
1916-06-01,1,Ascension / Rosh Hashana
1916-06-12,1,Lundi de Pentecôte
1916-07-14,1,Fête nationale / Ramadan
1916-07-31,1,Aïd el-Fitr
1916-08-15,1,Assomption
1916-11-01,1,Toussaint
1916-12-25,1,Noël / Rosh Hashana
1917-01-01,1,Jour de l'an
1917-04-09,1,Lundi de Pâques / Pessa'h (fête)
1917-05-01,1,Fête du Travail
1917-05-08,1,Fête de la Victoire / Lag BaOmer
1917-05-17,1,Ascension
1917-05-28,1,Lundi de Pentecôte
1917-07-20,1,Aïd el-Fitr
1917-08-15,1,Assomption
1917-09-26,1,Aïd el-Adha
1917-11-01,1,Toussaint
1917-12-25,1,Noël
1918-01-01,1,Jour de l'an
1918-04-01,1,Lundi de Pâques
1918-05-01,1,Fête du Travail / Pessa'h (7e jour)
1918-05-08,1,Fête de la Victoire
1918-05-09,1,Ascension
1918-05-20,1,Lundi de Pentecôte
1918-07-09,1,Aïd el-Fitr
1918-08-15,1,Assomption / Tisha Beav
1918-11-01,1,Toussaint
1918-11-11,1,Armistice 1918
1918-12-25,1,Noël
1919-01-01,1,Hanoucca / Jour de l'an
1919-04-21,1,Lundi de Pâques
1919-05-01,1,Fête du Travail / Rosh Hashana
1919-05-08,1,Fête de la Victoire
1919-05-29,1,Ascension
1919-06-09,1,Lundi de Pentecôte / Ramadan
1919-07-14,1,Fête nationale
1919-08-15,1,Assomption
1919-09-05,1,Aïd el-Adha
1919-11-11,1,Armistice 1918
1919-12-25,1,Noël
1920-01-01,1,Jour de l'an
1920-04-05,1,Lundi de Pâques / Pessa'h (fête)
1920-05-13,1,Ascension
1920-05-24,1,Lundi de Pentecôte / Ramadan
1920-06-17,1,Aïd el-Fitr
1920-07-14,1,Fête nationale
1920-08-24,1,Aïd el-Adha
1920-11-01,1,Toussaint
1920-11-11,1,Armistice 1918
1921-03-28,1,Lundi de Pâques
1921-05-05,1,Ascension
1921-05-16,1,Lundi de Pentecôte / Ramadan
1921-06-07,1,Aïd el-Fitr
1921-07-14,1,Fête nationale
1921-08-15,1,Assomption
1921-11-01,1,Rosh Hashana / Toussaint
1921-11-11,1,Armistice 1918
1922-04-17,1,Lundi de Pâques / Pessa'h (7e jour)
1922-05-01,1,Fête du Travail / Ramadan
1922-05-08,1,Fête de la Victoire / Ramadan
1922-05-25,1,Ascension / Ramadan
1922-06-05,1,Lundi de Pentecôte
1922-07-14,1,Fête nationale
1922-08-03,1,Aïd el-Adha
1922-08-15,1,Assomption
1922-11-01,1,Toussaint
1922-12-25,1,Noël
1923-01-01,1,Jour de l'an
1923-04-02,1,Lundi de Pâques
1923-05-01,1,Fête du Travail / Pessa'h (fête) / Ramadan
1923-05-08,1,Fête de la Victoire / Ramadan
1923-05-10,1,Ascension / Ramadan
1923-05-16,1,Aïd el-Fitr
1923-05-21,1,Lundi de Pentecôte
1923-07-23,1,Aïd el-Adha
1923-08-15,1,Assomption
1923-11-01,1,Toussaint
1923-12-25,1,Noël
1924-01-01,1,Hanoucca (1er jour) / Jour de l'an
1924-04-21,1,Lundi de Pâques / Ramadan
1924-05-01,1,Fête du Travail / Ramadan
1924-05-05,1,Aïd el-Fitr
1924-05-08,1,Fête de la Victoire
1924-05-29,1,Ascension / Yom HaShoah
1924-06-09,1,Lundi de Pentecôte
1924-07-14,1,Fête nationale
1924-08-15,1,Assomption
1924-11-11,1,Armistice 1918
1924-12-25,1,Hanoucca / Noël
1925-01-01,1,Jour de l'an
1925-04-13,1,Lundi de Pâques / Pessa'h (fête) / Ramadan
1925-04-24,1,Aïd el-Fitr
1925-05-01,1,Fête du Travail
1925-05-08,1,Fête de la Victoire
1925-05-21,1,Ascension
1925-06-01,1,Lundi de Pentecôte
1925-07-01,1,Aïd el-Adha
1925-07-14,1,Fête nationale
1925-11-11,1,Armistice 1918
1925-12-25,1,Noël
1926-01-01,1,Jour de l'an
1926-04-05,1,Lundi de Pâques / Ramadan
1926-04-13,1,Aïd el-Fitr / Rosh Hashana
1926-05-13,1,Ascension
1926-05-24,1,Lundi de Pentecôte
1926-07-14,1,Fête nationale
1926-11-01,1,Toussaint
1926-11-11,1,Armistice 1918
1927-04-18,1,Lundi de Pâques
1927-05-26,1,Ascension
1927-06-06,1,Lundi de Pentecôte
1927-06-10,1,Aïd el-Adha
1927-07-14,1,Fête nationale
1927-08-15,1,Assomption
1927-11-01,1,Toussaint
1927-11-11,1,Armistice 1918
1928-03-22,1,Aïd el-Fitr
1928-04-09,1,Lundi de Pâques / Pessa'h (fête)
1928-05-01,1,Fête du Travail
1928-05-08,1,Fête de la Victoire
1928-05-17,1,Ascension
1928-05-28,1,Lundi de Pentecôte
1928-05-29,1,Aïd el-Adha
1928-08-15,1,Assomption / Rosh Hashana
1928-11-01,1,Toussaint
1928-12-25,1,Noël
1929-01-01,1,Jour de l'an
1929-03-12,1,Aïd el-Fitr
1929-04-01,1,Lundi de Pâques
1929-05-01,1,Fête du Travail
1929-05-08,1,Fête de la Victoire
1929-05-09,1,Ascension / Rosh Hashana
1929-05-20,1,Lundi de Pentecôte
1929-08-15,1,Assomption
1929-11-01,1,Toussaint
1929-11-11,1,Armistice 1918
1929-12-25,1,Noël
1930-01-01,1,Jour de l'an / Rosh Hashana
1930-04-21,1,Lundi de Pâques
1930-05-01,1,Fête du Travail
1930-05-08,1,Aïd el-Adha / Fête de la Victoire
1930-05-29,1,Ascension / Nouvel An islamique
1930-06-09,1,Lundi de Pentecôte
1930-07-14,1,Fête nationale
1930-08-15,1,Assomption
1930-11-11,1,Armistice 1918
1930-12-25,1,Noël
1931-01-01,1,Jour de l'an
1931-02-18,1,Aïd el-Fitr
1931-04-06,1,Lundi de Pâques
1931-04-27,1,Aïd el-Adha
1931-05-01,1,Fête du Travail
1931-05-08,1,Fête de la Victoire / Pessa'h (fête)
1931-05-14,1,Ascension
1931-05-25,1,Lundi de Pentecôte
1931-07-14,1,Fête nationale
1931-11-11,1,Armistice 1918
1931-12-25,1,Noël
1932-01-01,1,Jour de l'an
1932-02-08,1,Aïd el-Fitr / Rosh Hashana
1932-03-28,1,Lundi de Pâques
1932-05-05,1,Ascension
1932-05-16,1,Lundi de Pentecôte
1932-07-14,1,Fête nationale
1932-08-15,1,Assomption
1932-11-01,1,Toussaint
1932-11-11,1,Armistice 1918
1933-01-27,1,Aïd el-Fitr
1933-04-05,1,Aïd el-Adha
1933-04-17,1,Lundi de Pâques
1933-05-01,1,Fête du Travail
1933-05-08,1,Fête de la Victoire
1933-05-25,1,Ascension
1933-06-05,1,Lundi de Pentecôte
1933-07-14,1,Fête nationale
1933-08-15,1,Assomption
1933-11-01,1,Toussaint
1933-12-25,1,Noël / Ramadan
1934-01-01,1,Jour de l'an / Ramadan
1934-01-16,1,Aïd el-Fitr / Hanoucca
1934-04-02,1,Lundi de Pâques
1934-05-01,1,Fête du Travail / Pessa'h (fête)
1934-05-08,1,Fête de la Victoire
1934-05-10,1,Ascension
1934-05-21,1,Lundi de Pentecôte
1934-08-15,1,Assomption
1934-11-01,1,Toussaint
1934-12-25,1,Noël / Ramadan
1935-01-01,1,Hanoucca (1er jour) / Jour de l'an / Ramadan
1935-03-15,1,Aïd el-Adha
1935-04-22,1,Lundi de Pâques
1935-05-01,1,Fête du Travail
1935-05-08,1,Fête de la Victoire
1935-05-30,1,Ascension / Yom HaShoah
1935-06-10,1,Lundi de Pentecôte
1935-08-15,1,Assomption
1935-11-01,1,Toussaint
1935-11-11,1,Armistice 1918
1935-12-25,1,Hanoucca / Noël / Ramadan
1935-12-26,1,Aïd el-Fitr / Rosh Hashana / Saint-Étienne
1936-01-01,1,Jour de l'an
1936-03-03,1,Aïd el-Adha
1936-04-13,1,Lundi de Pâques
1936-05-01,1,Fête du Travail
1936-05-08,1,Fête de la Victoire / Lag BaOmer
1936-05-21,1,Ascension / Rosh Hashana
1936-06-01,1,Lundi de Pentecôte
1936-07-14,1,Fête nationale
1936-11-11,1,Armistice 1918
1936-12-14,1,Aïd el-Fitr / Rosh Hashana
1936-12-25,1,Noël
1937-01-01,1,Jour de l'an
1937-03-29,1,Lundi de Pâques
1937-05-06,1,Ascension
1937-05-17,1,Lundi de Pentecôte
1937-07-14,1,Fête nationale
1937-11-01,1,Toussaint
1937-11-11,1,Armistice 1918 / Ramadan
1938-02-10,1,Aïd el-Adha
1938-04-18,1,Lundi de Pâques
1938-05-26,1,Ascension / Yom HaShoah
1938-06-06,1,Lundi de Pentecôte
1938-07-14,1,Fête nationale
1938-08-15,1,Assomption
1938-11-01,1,Ramadan / Toussaint
1938-11-11,1,Armistice 1918 / Ramadan
1938-11-23,1,Aïd el-Fitr / Rosh Hashana
1939-01-30,1,Aïd el-Adha
1939-04-10,1,Lundi de Pâques
1939-05-01,1,Fête du Travail
1939-05-08,1,Fête de la Victoire
1939-05-18,1,Ascension / Rosh Hashana
1939-05-29,1,Lundi de Pentecôte
1939-07-14,1,Fête nationale
1939-08-15,1,Assomption
1939-11-01,1,Ramadan / Toussaint
1939-11-13,1,Aïd el-Fitr
1939-12-25,1,Noël
1940-01-01,1,Jour de l'an
1940-03-25,1,Lundi de Pâques
1940-05-01,1,Fête du Travail
1940-05-02,1,Ascension
1940-05-08,1,Fête de la Victoire
1940-05-13,1,Lundi de Pentecôte
1940-08-15,1,Assomption
1940-11-01,1,Aïd el-Fitr / Toussaint
1940-11-11,1,Armistice 1918
1940-12-25,1,Hanoucca (1er jour) / Noël
1941-01-01,1,Jour de l'an
1941-01-08,1,Aïd el-Adha
1941-04-14,1,Lundi de Pâques / Pessa'h (fête)
1941-05-01,1,Fête du Travail
