commune_id,year,population
97607,2007,10141
97608,2007,15339
97609,2007,4527
97610,2007,19831
97611,2007,53022
97612,2007,6917
97613,2007,5028
97614,2007,6577
97615,2007,9077
97616,2007,8007
97617,2007,9200
